Company,TypeName,Inches,RamGB,OpSys,WeightKG,Price,GHz,CpuBrand,CpuVersion,MainMemory,SecondMemory,MainMemoryType,SecondMemoryType,TouchScreen,Resolution,PanelType,GpuBrand,GpuVersion
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,33513.119999999995,2.4,Intel, Core i3 7100U ,256,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063.2,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,1,1920x1080,Without,Intel, HD Graphics 620
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,55890.72,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,1,1920x1080,Without,Intel, UHD Graphics 620
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816.16,2.2,Intel, Core i3 6006U ,500,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Asus,Notebook,15.6,4,Windows 10,2.03,21471.84,3.0,AMD, A9-Series 9420 ,1000,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R5 M420
Acer,Notebook,17.3,4,Windows 10,3.0,42890.4,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
Dell,Notebook,15.6,8,Windows 10,2.13,38787.84,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489.12,2.8,Intel, Core i7 7700HQ ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050 Ti
Acer,Notebook,15.6,4,Windows 10,2.1,18541.44,1.1,Intel, Celeron Dual Core N3350 ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 500
MSI,Gaming,15.6,16,Windows 10,2.4,95850.72,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Acer,Notebook,15.6,4,Windows 10,2.1,19367.8128,1.1,Intel, Pentium Quad Core N4200 ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 505
Dell,Gaming,15.6,8,Windows 10,2.56,56502.9072,2.8,Intel, Core i7 7700HQ ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Acer,Notebook,17.3,8,Windows 10,3.0,45501.12,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
HP,Notebook,13.3,4,Windows 10,1.49,40173.12,1.6,Intel, Core i5 8250U ,500,0.0,HDD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Huawei,Ultrabook,13.0,8,Windows 10,1.05,71874.72,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,2160x1440,IPSPanel,Intel, HD Graphics 620
HP,Notebook,17.3,6,Windows 10,2.71,37242.72,2.5,Intel, Core i5 7200U ,2000,0.0,HDD,None,0,1920x1080,IPSPanel,AMD, Radeon 520
Lenovo,Notebook,15.6,4,No OS,2.2,16463.52,2.9,AMD, A6-Series 9220 ,500,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R4 Graphics
Toshiba,Notebook,15.6,4,Windows 10,2.0,26053.92,2.4,Intel, Core i3 7100U ,500,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,17.3,8,Windows 10,2.5,49177.44,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX
Dell,Notebook,15.6,8,Windows 10,2.3,24455.52,2.4,Intel, Core i3 7100U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
Acer,Notebook,15.6,4,Windows 10,2.1,23922.72,2.0,Intel, Core i3 6006U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 520
MSI,Gaming,18.4,32,Windows 10,4.4,149130.72,2.9,Intel, Core i7 6920HQ ,512,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GTX 980 SLI
Lenovo,Notebook,15.6,8,Windows 10,1.9,43316.64,2.5,Intel, Core i5 7200U ,128,1000.0,SSD,HDD,0,1920x1080,Without,AMD, R17M-M1-70
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,79866.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,1,3840x2160,IPSPanel,Intel, UHD Graphics 620
Dell,Notebook,15.6,16,Linux,2.02,55890.72,1.8,Intel, Core i7 8550U ,256,2000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,13.3,8,Windows 10,1.23,74538.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,98514.72,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,1,3840x2160,IPSPanel,Intel, UHD Graphics 620
Toshiba,Notebook,15.6,8,Windows 10,2.0,42251.04,2.5,Intel, Core i5 7200U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
Xiaomi,Notebook,15.6,8,No OS,1.95,63882.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
Dell,Notebook,17.3,16,Windows 10,2.77,82530.72,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,1,1920x1080,Without,Nvidia, GeForce 150MX
Dell,Notebook,15.6,16,Windows 10,2.06,127712.16,2.8,Intel, Core i7 7700HQ ,512,0.0,SSD,None,1,3840x2160,Without,Nvidia, GeForce GTX 1050
Lenovo,Gaming,15.6,8,No OS,2.4,41505.12,2.5,Intel, Core i5 7300HQ ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
Acer,Ultrabook,13.3,8,Windows 10,1.12,52693.92,1.2,Intel, Core i5 7Y54 ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 615
Dell,Notebook,17.3,8,Windows 10,2.8,57808.8,1.8,Intel, Core i7 8550U ,128,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,150462.72,2.7,Intel, Core i7 7500U ,1000,0.0,SSD,None,1,2560x1440,Without,Intel, HD Graphics 620
Vero,Notebook,14.0,4,Windows 10,1.3,13852.8,1.1,Intel, Celeron Dual Core N3350 ,32,0.0,FlashStorage,None,0,1920x1080,IPSPanel,Intel, HD Graphics 500
Xiaomi,Ultrabook,13.3,8,No OS,1.3,53274.67199999999,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
Lenovo,Notebook,17.3,8,No OS,2.8,37189.44,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1600x900,Without,Nvidia, GeForce MX150
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,44701.92,1.8,Intel, Core i7 8550U ,1000,0.0,HDD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
HP,Notebook,17.3,8,Windows 10,2.5,48697.92,1.6,Intel, Core i5 8250U ,1000,0.0,HDD,None,0,1920x1080,IPSPanel,Nvidia, GeForce 930MX
Razer,Gaming,17.3,32,Windows 10,3.49,324954.72,2.9,Intel, Core i7 7820HK ,1000,0.0,SSD,None,1,3840x2160,Without,Nvidia, GeForce GTX 1080
HP,Notebook,13.3,8,Windows 10,1.49,51095.52,1.6,Intel, Core i5 8250U ,512,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Gaming,17.3,16,Windows 10,3.35,73473.12,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
HP,Notebook,17.3,8,Windows 10,2.5,55677.6,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX 
Dell,Gaming,15.6,16,Windows 10,2.65,98301.6,2.8,Intel, Core i7 7700HQ ,512,1000.0,SSD,HDD,0,3840x2160,IPSPanel,Nvidia, GeForce GTX 1060
Lenovo,Notebook,15.6,4,Windows 10,2.1,26267.04,2.3,Intel, Core i5 6200U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 520
Acer,Notebook,15.6,8,Windows 10,2.23,39533.76,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Lenovo,Gaming,15.6,16,Windows 10,3.2,93186.72,2.8,Intel, Core i7 7700HQ ,512,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Dell,Workstation,15.6,16,Windows 10,2.8,162770.4,3.0,Intel, Xeon E3-1505M V6 ,256,1000.0,SSD,HDD,0,3840x2160,Without,Nvidia, Quadro M1200
Lenovo,Gaming,15.6,16,No OS,2.4,74485.44,2.8,Intel, Core i7 7700HQ ,512,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1060
Dell,Notebook,15.6,6,Windows 10,2.3,23389.92,2.4,Intel, Core i3 7100U ,1000,0.0,HDD,None,1,1366x768,Without,Intel, HD Graphics 620
Dell,Ultrabook,13.3,8,Windows 10,1.21,103842.72,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,1,3840x2160,IPSPanel,Intel, UHD Graphics 620
Dell,Ultrabook,13.3,8,Windows 10,1.2,77202.72,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Notebook,15.6,8,Windows 10,2.2,31808.16,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
Acer,Notebook,15.6,8,Linux,2.4,41505.12,2.8,Intel, Core i7 7700HQ ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Asus,Gaming,17.3,16,Windows 10,2.9,74964.95999999999,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050
HP,Notebook,15.6,4,No OS,2.1,18594.72,2.0,Intel, Core i3 6006U ,500,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 520
Lenovo,Notebook,15.6,8,No OS,2.2,29250.72,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Huawei,Ultrabook,13.0,8,Windows 10,1.05,79866.72,2.7,Intel, Core i7 7500U ,512,0.0,SSD,None,0,2160x1440,IPSPanel,Intel, HD Graphics 620
Dell,Ultrabook,13.3,8,Windows 10,1.4,49650.5664,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,AMD, Radeon 530
Lenovo,Notebook,17.3,8,No OS,2.8,31381.92,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1600x900,Without,Nvidia, GeForce GTX 940MX
HP,Notebook,14.0,8,Windows 10,1.63,54931.68,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX
Dell,Ultrabook,14.0,8,Windows 10,1.6,61218.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,68145.12,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,1,1920x1080,Without,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Linux,2.2,36089.208,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,47898.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Toshiba,Ultrabook,13.3,8,Windows 10,1.2,72620.64,2.5,Intel, Core i7 6500U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 520
HP,Notebook,15.6,8,Windows 10,2.1,42304.32,1.6,Intel, Core i5 8250U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Gaming,17.3,16,Windows 10,4.42,130873.7952,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Acer,Notebook,15.6,8,Windows 10,2.2,44328.96,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Dell,Notebook,15.6,16,Windows 10,2.3,45768.0528,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,1,1920x1080,Without,AMD, Radeon R7 M445
Asus,Notebook,15.6,8,Windows 10,2.0,40972.32,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 920MX 
Asus,Notebook,17.3,8,Windows 10,2.69,47472.48,2.5,Intel, Core i5 7200U ,256,500.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 950M
HP,Notebook,15.6,8,Windows 10,1.9,67612.31999999999,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, FirePro W4190M 
Asus,Notebook,15.6,4,Windows 10,2.37,21258.1872,2.4,Intel, Core i3 7100U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,15.6,4,Windows 10,2.1,17582.399999999998,1.5,AMD, E-Series 9000e ,500,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R2
Lenovo,Gaming,15.6,16,Windows 10,3.2,79866.72,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Dell,Notebook,14.0,8,Windows 10,1.6,45767.52,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,36709.92,2.3,Intel, Core i5 6200U ,256,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 520
Dell,Notebook,15.6,16,Linux,2.36,47898.72,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R7 M445
Acer,Notebook,15.6,4,Linux,2.1,20779.2,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Asus,Notebook,15.6,4,Windows 10,2.2,30636.0,2.5,AMD, A10-Series A10-9620P ,128,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon R5 M430
Asus,Gaming,17.3,32,Windows 10,4.7,207259.2,2.9,Intel, Core i7 7820HK ,512,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1080
Acer,Gaming,15.6,8,Windows 10,2.5,45074.88,2.5,Intel, Core i5 7300HQ ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,8,Windows 10,2.2,31381.92,2.0,Intel, Core i3 6006U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 520
Asus,Notebook,17.3,8,Windows 10,2.1,61005.6,1.8,Intel, Core i7 8550U ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce 150MX
Asus,Notebook,17.3,8,No OS,2.69,47365.92,2.7,Intel, Core i7 7500U ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 950M
Dell,Gaming,15.6,8,Windows 10,2.56,46833.12,2.5,Intel, Core i5 7300HQ ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,57489.12,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.2,52480.8,1.8,Intel, Core i7 8550U ,128,2000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
HP,Notebook,15.6,8,Windows 10,2.04,29783.52,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,1,1366x768,Without,Intel, HD Graphics 620
Asus,Gaming,17.3,16,Windows 10,3.6,159786.72,2.9,Intel, Core i7 7820HK ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1080
HP,Notebook,13.3,4,Windows 10,1.49,35964.0,1.6,Intel, Core i5 8250U ,500,0.0,HDD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Apple,Ultrabook,13.3,8,macOS,1.37,108691.2,3.1,Intel, Core i5 ,512,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 650
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.08,43636.32,1.8,Intel, Core i7 8550U ,1000,0.0,HDD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
Asus,Gaming,17.3,16,Windows 10,4.3,95850.72,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 980M
Asus,Notebook,15.6,4,Windows 10,1.68,24988.32,3.0,AMD, A9-Series 9420 ,1000,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R5 M420
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.37,98514.72,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
Acer,Notebook,17.3,4,Windows 10,3.0,37402.56,2.7,Intel, Core i3 7130U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX130
Dell,Ultrabook,13.3,8,Windows 10,1.41,50562.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Notebook,15.6,8,Windows 10,1.91,23757.552,2.5,AMD, A6-Series A6-9220 ,128,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R4 Graphics
HP,Notebook,17.3,16,Windows 10,2.9,56423.52,1.8,Intel, Core i7 8550U ,1000,0.0,HDD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
MSI,Gaming,17.3,16,Windows 10,4.14,133146.72,2.8,Intel, Core i7 7700HQ ,512,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2.0,90522.72,2.8,Intel, Core i7 7700HQ ,512,0.0,SSD,None,1,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050M
Dell,Notebook,17.3,8,Windows 10,2.8,60845.76,1.8,Intel, Core i7 8550U ,128,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
Lenovo,Notebook,15.6,4,No OS,2.2,23656.32,2.0,Intel, Core i3 6006U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 520
HP,Notebook,15.6,4,Windows 10,2.1,38468.16,1.6,Intel, Core i5 8250U ,500,0.0,HDD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Dell,Notebook,15.6,4,Windows 10,2.18,35004.96,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.24,30103.2,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,42570.72,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,1,1920x1080,Without,Intel, UHD Graphics 620
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,79866.72,1.8,Intel, Core i7 8550U ,512,512.0,SSD,SSD,1,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Notebook,15.6,4,No OS,2.2,24881.76,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
HP,Notebook,17.3,8,Windows 10,2.5,54239.04,1.8,Intel, Core i7 8550U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 930MX 
Lenovo,Notebook,15.6,8,Windows 10,2.05,46886.4,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Apple,Ultrabook,13.3,8,macOS,1.37,104370.192,2.9,Intel, Core i5 ,512,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Graphics 550
Asus,Gaming,17.3,16,Windows 10,3.2,82530.72,3.0,AMD, Ryzen 1700 ,256,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon RX 580
Dell,Notebook,15.6,8,Linux,2.14,39164.5296,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.36,133146.72,2.6,Intel, Core i7 6600U ,512,0.0,SSD,None,1,2560x1440,Without,Intel, HD Graphics 520
Toshiba,Notebook,15.6,8,Windows 10,2.2,43263.36,2.5,Intel, Core i7 6500U ,500,0.0,HDD,None,0,1366x768,Without,Nvidia, GeForce 930M
Dell,Notebook,15.6,12,Windows 10,2.3,37992.3696,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
Dell,Notebook,17.3,8,Linux,2.8,58554.72,1.8,Intel, Core i7 8550U ,128,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
Acer,Notebook,15.6,8,Windows 10,2.2,39693.6,1.8,Intel, Core i7 8550U ,1000,0.0,HDD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX130
Lenovo,Notebook,17.3,4,Windows 10,2.8,26053.92,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1600x900,Without,Intel, HD Graphics 520
Lenovo,Notebook,17.3,8,No OS,2.8,45234.72,1.8,Intel, Core i7 8550U ,2000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce MX150
Lenovo,Notebook,17.3,6,Windows 10,2.8,45767.52,2.7,Intel, Core i7 7500U ,128,1000.0,SSD,HDD,0,1600x900,Without,Nvidia, GeForce 940MX
Dell,Notebook,15.6,4,Linux,2.25,22803.84,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Lenovo,Gaming,15.6,8,Windows 10,2.5,44169.12,2.5,Intel, Core i5 7300HQ ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,6,Windows 10,2.2,30849.12,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Acer,Notebook,15.6,8,Windows 10,3.0,50669.28,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
Acer,Notebook,15.6,12,Windows 10,2.15,35111.52,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
Lenovo,Notebook,15.6,8,Windows 10,1.95,58448.16,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 630
Asus,Ultrabook,15.6,8,Windows 10,1.7,52054.56,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Lenovo,Gaming,15.6,16,Windows 10,2.5,62817.12,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050 Ti
Lenovo,Notebook,15.6,8,No OS,2.2,35112.0528,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Acer,Notebook,15.6,2,Chrome OS,2.19,10602.72,1.5,Intel, Celeron Dual Core 3205U ,16,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics
Asus,Gaming,17.3,8,Windows 10,3.0,63243.36,2.8,Intel, Core i7 7700HQ ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
HP,Notebook,17.3,8,Windows 10,2.54,26053.92,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1600x900,Without,Intel, HD Graphics 520
Dell,Notebook,15.6,8,Windows 10,2.0,97449.12,2.8,Intel, Core i7 7700HQ ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,8,Windows 10,2.05,39373.92,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Gaming,15.6,8,Windows 10,3.2,69210.72,2.8,Intel, Core i7 7700HQ ,1000,0.0,HDD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Acer,Notebook,15.6,8,Linux,2.5,52161.12,2.8,Intel, Core i7 7700HQ ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
Dell,Workstation,17.3,16,Windows 10,3.42,153705.3408,2.9,Intel, Core i7 7820HQ ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, Quadro M1200
Lenovo,Notebook,15.6,6,Windows 10,2.4,26586.72,2.4,AMD, A10-Series 9600P ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 430
Asus,Ultrabook,15.6,16,Windows 10,1.63,78215.04,2.7,Intel, Core i7 7500U ,512,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Asus,Notebook,14.0,4,Windows 10,1.3,27119.52,2.4,Intel, Core i3 7100U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
Asus,Gaming,17.3,16,Windows 10,2.9,113060.16,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Lenovo,Notebook,17.3,6,Windows 10,2.8,34578.72,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1600x900,Without,Nvidia, GeForce GTX 940M
Lenovo,Notebook,15.6,8,No OS,2.2,29250.72,2.5,Intel, Core i5 7200U ,2000,0.0,HDD,None,0,1366x768,Without,Nvidia, GeForce 940MX
Asus,Gaming,15.6,8,Windows 10,2.5,67399.2,2.8,Intel, Core i7 7700HQ ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
Lenovo,Notebook,15.6,4,No OS,2.2,19180.2672,1.1,Intel, Pentium Quad Core N4200 ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 505
HP,2 in 1 Convertible,13.3,16,Windows 10,1.28,105228.0,2.8,Intel, Core i7 7600U ,256,0.0,SSD,None,1,1920x1080,Without,Intel, HD Graphics 620
Toshiba,Notebook,15.6,8,Windows 10,2.2,55571.04,2.5,Intel, Core i7 6500U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce 930M
Lenovo,Notebook,15.6,8,Windows 10,2.3,43636.32,2.5,Intel, Core i5 7200U ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce 940MX
HP,Notebook,15.6,4,Windows 10,1.86,24988.32,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 520
Lenovo,Notebook,13.3,8,Windows 10,1.1,53226.72,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
